project_id,avg_utilization_pct
1,89
2,74
3,98
4,60
5,77
6,95
7,70
8,97
9,89
10,96
11,85
12,63
13,85
14,88
15,60
16,64
17,70
18,95
19,63
20,60
21,75
22,63
23,99
24,75
25,83
26,88
27,77
28,91
29,82
30,98
31,64
32,76
33,60
34,93
35,97
36,91
37,88
38,66
39,93
40,80
41,81
42,84
43,83
44,77
45,63
46,65
47,62
48,65
49,97
50,85
51,61
52,72
53,62
54,81
55,85
56,67
57,65
58,94
59,73
60,95
61,90
62,67
63,66
64,83
65,86
66,94
67,60
68,64
69,83
70,62
71,66
72,99
73,74
74,85
75,83
76,89
77,74
78,61
79,60
80,78
81,61
82,63
83,70
84,66
85,76
86,96
87,87
88,90
89,94
90,83
91,96
92,70
93,85
94,76
95,64
96,64
97,97
98,84
99,68
100,61
101,85
102,87
103,66
104,80
105,86
106,95
107,99
108,61
109,68
110,82
111,79
112,63
113,60
114,61
115,74
116,94
117,68
118,81
119,76
120,80
121,82
122,88
123,89
124,77
125,69
126,61
127,87
128,92
129,76
130,69
131,87
132,87
133,97
134,96
135,91
136,75
137,98
138,84
139,92
140,80
141,61
142,90
143,94
144,74
145,88
146,76
147,83
148,72
149,92
150,80
151,91
152,75
153,93
154,91
155,64
156,89
157,74
158,69
159,73
160,85
161,62
162,78
163,90
164,80
165,86
166,78
167,81
168,96
169,87
170,98
171,83
172,82
173,83
174,73
175,78
176,96
177,75
178,86
179,77
180,80
181,70
182,73
183,83
184,93
185,75
186,73
187,85
188,92
189,86
190,62
191,71
192,86
193,72
194,72
195,95
196,66
197,93
198,94
199,69
200,91
201,74
202,86
203,92
204,80
205,60
206,73
207,89
208,75
209,87
210,92
211,77
212,96
213,60
214,88
215,77
216,80
217,78
218,99
219,81
220,96
221,96
222,81
223,89
224,65
225,83
226,65
227,60
228,85
229,76
230,95
231,67
232,87
233,85
234,83
235,66
236,77
237,84
238,77
239,62
240,65
241,78
242,97
243,82
244,91
245,76
246,83
247,99
248,87
249,76
250,81
251,73
252,70
253,97
254,73
255,61
256,82
257,82
258,78
259,76
260,82
261,85
262,74
263,99
264,89
265,91
266,83
267,86
268,88
269,89
270,97
271,94
272,68
273,67
274,60
275,86
276,93
277,84
278,85
279,97
280,96
281,99
282,86
283,88
284,86
285,97
286,85
287,63
288,89
289,63
290,99
291,96
292,67
293,89
294,86
295,90
296,96
297,83
298,71
299,75
300,81
301,82
302,60
303,81
304,99
305,73
306,68
307,89
308,89
309,63
310,64
311,64
312,90
313,82
314,99
315,84
316,74
317,93
318,65
319,63
320,73
321,80
322,86
323,96
324,91
325,71
326,61
327,75
328,89
329,97
330,61
331,63
332,94
333,88
334,60
335,74
336,83
337,81
338,75
339,64
340,93
341,63
342,98
343,63
344,90
345,82
346,96
347,80
348,63
349,74
350,61
351,76
352,62
353,85
354,97
355,62
356,83
357,89
358,72
359,64
360,62
361,76
362,67
363,87
364,72
365,62
366,96
367,89
368,71
369,82
370,66
371,67
372,80
373,93
374,89
375,63
376,72
377,97
378,98
379,82
380,98
381,60
382,86
383,77
384,78
385,80
386,61
387,96
388,66
389,95
390,66
391,97
392,80
393,78
394,64
395,80
396,65
397,74
398,71
399,80
400,99
401,93
402,64
403,60
404,74
405,74
406,60
407,64
408,67
409,73
410,62
411,73
412,80
413,73
414,68
415,82
416,69
417,96
418,83
419,84
420,86
421,87
422,64
423,69
424,80
425,92
426,79
427,77
428,80
429,76
430,85
431,97
432,84
433,82
434,94
435,70
436,89
437,92
438,81
439,97
440,85
441,60
442,96
443,71
444,61
445,72
446,70
447,72
448,68
449,85
450,82
451,93
452,89
453,95
454,68
455,67
456,93
457,67
458,75
459,73
460,60
461,84
462,92
463,93
464,85
465,73
466,96
467,70
468,92
469,62
470,71
471,83
472,89
473,95
474,92
475,81
476,81
477,69
478,68
479,96
480,60
481,79
482,98
483,63
484,82
485,86
486,80
487,89
488,83
489,65
490,83
491,96
492,61
493,91
494,78
495,83
496,99
497,85
498,78
499,67
500,83
501,71
502,68
503,75
504,87
505,77
506,90
507,74
508,90
509,73
510,91
511,80
512,61
513,79
514,67
515,61
516,79
517,79
518,94
519,94
520,70
521,83
522,74
523,95
524,98
525,91
526,77
527,61
528,92
529,64
530,73
531,87
532,77
533,63
534,69
535,78
536,73
537,85
538,82
539,94
540,69
541,60
542,83
543,70
544,87
545,97
546,82
547,80
548,84
549,63
550,75
551,91
552,89
553,83
554,68
555,74
556,86
557,95
558,78
559,72
560,75
561,81
562,69
563,70
564,76
565,91
566,71
567,79
568,87
569,90
570,94
571,79
572,61
573,64
574,83
575,90
576,74
577,88
578,72
579,71
580,61
581,87
582,62
583,98
584,80
585,86
